m2,bedrooms,floors,price
180.0,1.0,6.0,238939.35
172.0,3.0,2.0,263647.97
200.0,3.0,7.0,316164.95
58.0,1.0,15.0,144270.01
65.0,5.0,8.0,191574.11
42.0,1.0,6.0,82325.73
189.0,2.0,6.0,279151.87
100.0,1.0,5.0,165584.86
216.0,3.0,8.0,324560.3
115.0,1.0,1.0,160556.71
57.0,5.0,10.0,169477.43
95.0,4.0,4.0,179388.62
199.0,1.0,15.0,299380.62
74.0,5.0,4.0,167549.48
91.0,5.0,3.0,191629.01
214.0,3.0,3.0,298380.54
163.0,5.0,4.0,280320.07
57.0,5.0,11.0,181780.68
57.0,5.0,1.0,139334.84
137.0,5.0,14.0,281511.5
73.0,2.0,11.0,152272.11
113.0,2.0,13.0,210030.42
59.0,3.0,11.0,147197.04
219.0,1.0,2.0,296830.4
104.0,5.0,9.0,201588.97
157.0,1.0,10.0,268653.03
121.0,1.0,2.0,155746.39
219.0,3.0,5.0,327640.68
158.0,5.0,9.0,280338.39
150.0,5.0,9.0,289731.22
56.0,4.0,8.0,154518.83
219.0,1.0,1.0,272991.44
150.0,1.0,1.0,210877.05
145.0,2.0,9.0,229032.47
32.0,4.0,13.0,143966.59
132.0,2.0,11.0,210394.08
184.0,2.0,8.0,274429.35
166.0,2.0,10.0,283240.89
91.0,3.0,9.0,192755.59
194.0,3.0,7.0,302491.45
80.0,2.0,3.0,129612.95
201.0,4.0,3.0,311009.98
181.0,1.0,2.0,240570.79
88.0,4.0,5.0,185990.74
147.0,5.0,12.0,274480.07
189.0,3.0,12.0,315820.9
125.0,1.0,3.0,160924.88
209.0,1.0,14.0,327373.51
142.0,5.0,6.0,254140.46
91.0,5.0,2.0,193759.54
215.0,2.0,12.0,336061.71
81.0,3.0,3.0,148171.44
41.0,3.0,5.0,113287.2
68.0,4.0,12.0,194822.18
159.0,2.0,11.0,260572.84
160.0,2.0,11.0,259266.61
142.0,2.0,1.0,183182.58
130.0,2.0,13.0,213795.33
142.0,3.0,1.0,230963.04
213.0,3.0,10.0,337439.4
110.0,2.0,9.0,197657.6
216.0,4.0,7.0,347824.76
142.0,1.0,1.0,203877.08
31.0,1.0,15.0,94063.2
159.0,4.0,12.0,288246.0
83.0,2.0,14.0,159255.91
116.0,3.0,8.0,192863.73
158.0,1.0,3.0,193875.11
176.0,5.0,8.0,299578.04
155.0,5.0,15.0,324630.74
159.0,4.0,5.0,247167.28
82.0,2.0,1.0,127757.57
201.0,1.0,7.0,261682.26
189.0,2.0,5.0,264588.31
189.0,1.0,6.0,261836.33
97.0,4.0,6.0,185998.61
212.0,4.0,8.0,351475.98
213.0,5.0,9.0,376007.74
152.0,2.0,2.0,191410.85
174.0,5.0,9.0,302604.09
67.0,2.0,12.0,147109.71
53.0,5.0,15.0,197113.4
98.0,3.0,11.0,190149.07
145.0,3.0,10.0,248760.78
127.0,3.0,9.0,210519.07
168.0,3.0,13.0,267206.45
173.0,1.0,10.0,269944.62
126.0,3.0,15.0,219311.16
153.0,4.0,10.0,301543.43
216.0,4.0,7.0,348901.82
99.0,1.0,1.0,144959.68
122.0,3.0,7.0,219305.62
32.0,3.0,10.0,110367.77
177.0,3.0,5.0,277105.01
216.0,5.0,6.0,349933.24
193.0,2.0,10.0,298236.88
176.0,5.0,7.0,306795.76
119.0,2.0,14.0,203395.82
176.0,3.0,15.0,290753.13
177.0,3.0,5.0,260588.73
125.0,5.0,7.0,257650.81
81.0,5.0,9.0,191790.64
190.0,2.0,3.0,244054.76
197.0,4.0,8.0,325162.06
157.0,2.0,2.0,242574.21
68.0,5.0,11.0,198877.0
111.0,5.0,7.0,221960.12
133.0,1.0,13.0,194558.26
158.0,5.0,2.0,268988.78
40.0,1.0,15.0,106089.31
214.0,4.0,14.0,347169.6
207.0,2.0,4.0,297012.45
180.0,2.0,7.0,289159.52
188.0,1.0,3.0,252267.39
71.0,2.0,2.0,123125.71
128.0,5.0,11.0,250353.26
36.0,3.0,10.0,134968.98
173.0,1.0,7.0,242698.27
119.0,2.0,1.0,168852.44
141.0,1.0,14.0,226964.26
89.0,1.0,15.0,172463.54
142.0,3.0,8.0,241070.58
31.0,5.0,3.0,135673.84
158.0,1.0,12.0,245207.66
77.0,2.0,12.0,154992.7
169.0,4.0,13.0,306614.31
66.0,1.0,2.0,106195.65
189.0,1.0,3.0,235243.49
38.0,3.0,5.0,119393.04
128.0,5.0,11.0,257989.15
176.0,4.0,8.0,291896.12
77.0,2.0,10.0,161416.51
160.0,4.0,7.0,281965.98
177.0,2.0,7.0,254990.02
181.0,5.0,12.0,337834.82
83.0,2.0,7.0,143874.62
149.0,3.0,15.0,290634.88
190.0,3.0,8.0,287061.67
181.0,3.0,1.0,268073.73
145.0,3.0,4.0,221615.79
104.0,4.0,13.0,250472.35
142.0,5.0,6.0,248546.15
193.0,2.0,9.0,294892.35
195.0,2.0,13.0,294181.08
133.0,3.0,2.0,206350.71
113.0,3.0,1.0,189042.45
141.0,1.0,13.0,237895.01
128.0,5.0,10.0,278080.76
182.0,4.0,12.0,295956.62
122.0,2.0,14.0,221613.01
175.0,1.0,2.0,248513.92
157.0,1.0,7.0,204176.27
139.0,2.0,3.0,209572.6
111.0,4.0,10.0,223174.99
83.0,1.0,2.0,125574.5
192.0,1.0,14.0,278132.35
218.0,5.0,11.0,352372.57
198.0,4.0,7.0,295642.72
190.0,1.0,13.0,293716.61
97.0,4.0,13.0,228648.59
62.0,2.0,2.0,114032.22
171.0,3.0,3.0,252790.22
50.0,1.0,11.0,88523.45
77.0,5.0,7.0,195160.15
177.0,2.0,14.0,271190.65
157.0,4.0,4.0,251864.42
165.0,2.0,13.0,259961.23
164.0,1.0,14.0,251429.58
174.0,4.0,1.0,262691.51
157.0,3.0,13.0,272801.51
62.0,2.0,14.0,138938.18
205.0,1.0,5.0,284416.48
216.0,5.0,12.0,382572.75
144.0,4.0,9.0,261102.51
148.0,2.0,8.0,237151.52
51.0,2.0,12.0,152614.27
187.0,3.0,15.0,300328.76
67.0,3.0,9.0,137598.38
138.0,5.0,10.0,278939.97
80.0,5.0,14.0,236358.51
211.0,1.0,9.0,292074.02
37.0,1.0,15.0,125122.01
56.0,5.0,7.0,164357.2
56.0,5.0,4.0,146029.35
50.0,4.0,5.0,123111.69
59.0,3.0,1.0,126352.96
126.0,1.0,14.0,197220.49
57.0,3.0,1.0,117375.32
140.0,3.0,3.0,241001.58
90.0,5.0,13.0,218318.64
77.0,4.0,14.0,210168.11
176.0,2.0,8.0,250625.48
33.0,4.0,14.0,135193.09
64.0,4.0,2.0,125914.27
78.0,3.0,4.0,151475.96
46.0,4.0,2.0,130560.94
201.0,1.0,14.0,299102.25
187.0,3.0,5.0,299124.6
75.0,1.0,9.0,123009.85
146.0,2.0,1.0,210904.11
35.0,3.0,5.0,95670.37
128.0,2.0,14.0,229940.12
153.0,3.0,15.0,279644.83
66.0,5.0,9.0,188188.75
53.0,4.0,15.0,155752.87
122.0,5.0,1.0,213723.05
75.0,2.0,9.0,138548.55
210.0,4.0,8.0,333133.43
124.0,3.0,4.0,206846.24
128.0,4.0,12.0,258097.07
217.0,1.0,11.0,298222.82
145.0,4.0,10.0,244787.77
189.0,1.0,5.0,282668.92
190.0,4.0,13.0,313422.56
96.0,1.0,5.0,155235.88
157.0,2.0,11.0,251775.2
47.0,5.0,12.0,170415.67
54.0,3.0,6.0,127781.39
83.0,4.0,7.0,175981.9
87.0,5.0,8.0,208967.67
96.0,3.0,15.0,199936.95
133.0,3.0,14.0,260595.63
203.0,1.0,8.0,289421.29
53.0,2.0,11.0,133795.13
143.0,2.0,14.0,237514.52
61.0,5.0,13.0,184363.74
204.0,2.0,2.0,266545.05
115.0,4.0,9.0,220763.81
180.0,2.0,7.0,254561.09
156.0,5.0,4.0,289956.82
184.0,2.0,4.0,263406.43
159.0,4.0,11.0,285845.97
46.0,1.0,8.0,91498.24
133.0,5.0,4.0,248970.95
190.0,1.0,13.0,311578.53
166.0,1.0,15.0,255598.32
72.0,1.0,6.0,111595.04
205.0,3.0,5.0,312356.32
68.0,3.0,3.0,105291.38
199.0,1.0,13.0,293567.48
55.0,5.0,14.0,178539.45
128.0,4.0,10.0,231692.24
79.0,4.0,11.0,193893.09
182.0,2.0,2.0,255047.86
181.0,5.0,9.0,297571.09
42.0,3.0,10.0,117641.65
89.0,1.0,9.0,114140.75
164.0,2.0,1.0,233319.23
86.0,4.0,10.0,196599.59
65.0,3.0,3.0,122480.62
202.0,3.0,8.0,317881.35
49.0,1.0,6.0,76410.02
94.0,4.0,5.0,176201.8
37.0,5.0,5.0,139406.29
173.0,3.0,6.0,262336.0
171.0,1.0,15.0,264448.12
144.0,5.0,7.0,262036.21
172.0,4.0,1.0,264468.83
121.0,3.0,9.0,212793.31
127.0,5.0,3.0,227918.92
95.0,5.0,4.0,204629.4
61.0,5.0,10.0,170664.86
115.0,3.0,1.0,186188.24
80.0,3.0,13.0,171255.22
182.0,2.0,11.0,262988.42
215.0,4.0,10.0,358949.22
92.0,1.0,3.0,140394.32
219.0,5.0,2.0,371264.18
154.0,2.0,2.0,208272.33
179.0,1.0,14.0,269292.47
87.0,2.0,1.0,135857.91
87.0,3.0,8.0,185272.43
115.0,5.0,3.0,215914.71
78.0,1.0,3.0,103547.5
209.0,1.0,6.0,298293.71
199.0,1.0,13.0,289000.2
99.0,1.0,8.0,168343.72
44.0,1.0,13.0,115946.38
83.0,2.0,15.0,174241.31
217.0,5.0,9.0,360308.24
130.0,3.0,9.0,223301.22
37.0,3.0,4.0,101217.68
82.0,3.0,14.0,195757.2
89.0,3.0,5.0,157242.72
137.0,2.0,2.0,201706.15
34.0,4.0,11.0,120376.42
132.0,5.0,9.0,248470.73
35.0,1.0,8.0,80628.73
138.0,4.0,3.0,211078.1
145.0,3.0,11.0,276726.7
123.0,4.0,12.0,229283.28
76.0,5.0,13.0,204718.94
128.0,1.0,9.0,209618.61
84.0,1.0,3.0,114445.14
197.0,5.0,9.0,310767.64
81.0,5.0,2.0,172860.65
173.0,3.0,12.0,278102.16
42.0,1.0,10.0,68083.52
143.0,4.0,9.0,262018.68
153.0,2.0,15.0,261085.13
135.0,2.0,8.0,229707.92
187.0,5.0,9.0,312950.13
176.0,3.0,5.0,252010.36
174.0,2.0,11.0,266919.32
149.0,1.0,11.0,225739.89
92.0,5.0,2.0,202456.2
48.0,4.0,8.0,158526.82
121.0,5.0,12.0,270773.75
87.0,4.0,15.0,212718.52
212.0,5.0,6.0,356993.99
119.0,5.0,8.0,234114.08
146.0,5.0,11.0,285220.74
91.0,4.0,5.0,169904.52
52.0,4.0,10.0,153152.22
156.0,5.0,2.0,269263.76
166.0,2.0,6.0,267865.54
169.0,3.0,5.0,260052.21
158.0,3.0,12.0,271680.51
87.0,3.0,13.0,191243.54
151.0,4.0,12.0,271742.16
30.0,4.0,5.0,101370.09
63.0,2.0,13.0,160185.74
125.0,3.0,1.0,186228.99
155.0,3.0,2.0,221064.98
147.0,5.0,8.0,283563.18
77.0,4.0,13.0,205293.78
118.0,3.0,14.0,223183.08
146.0,2.0,13.0,238967.36
158.0,2.0,3.0,231990.52
45.0,3.0,10.0,120505.77
218.0,4.0,3.0,321219.45
98.0,2.0,8.0,182155.11
51.0,5.0,8.0,167485.57
122.0,2.0,2.0,198133.91
105.0,1.0,8.0,149968.93
183.0,1.0,11.0,261570.45
173.0,4.0,13.0,309974.15
208.0,3.0,13.0,322492.55
115.0,4.0,1.0,208700.25
214.0,4.0,6.0,349495.53
58.0,4.0,8.0,146599.7
98.0,4.0,3.0,187063.1
76.0,5.0,8.0,207667.42
123.0,5.0,12.0,280191.26
219.0,2.0,1.0,304749.62
173.0,1.0,11.0,262721.15
205.0,4.0,11.0,328755.16
114.0,2.0,9.0,198110.51
68.0,1.0,13.0,142281.85
129.0,3.0,11.0,230275.56
62.0,5.0,13.0,181262.68
130.0,1.0,9.0,182624.43
52.0,3.0,5.0,101547.24
39.0,1.0,10.0,68425.4
98.0,5.0,4.0,211553.31
129.0,5.0,15.0,276572.39
63.0,2.0,11.0,132794.27
209.0,4.0,6.0,324822.52
167.0,1.0,12.0,253925.65
176.0,1.0,7.0,245225.24
215.0,3.0,5.0,301913.36
125.0,5.0,11.0,268956.0
30.0,1.0,13.0,93649.51
98.0,5.0,10.0,225790.78
33.0,1.0,9.0,91650.75
45.0,2.0,3.0,83236.26
53.0,4.0,15.0,183164.78
109.0,1.0,7.0,165119.49
31.0,5.0,10.0,152863.19
157.0,2.0,10.0,257213.39
189.0,1.0,11.0,262334.38
113.0,3.0,5.0,201634.8
181.0,4.0,14.0,323115.3
169.0,1.0,7.0,239163.74
207.0,2.0,15.0,322267.54
192.0,3.0,2.0,280369.28
153.0,2.0,4.0,235352.27
62.0,2.0,2.0,117334.93
190.0,3.0,14.0,315365.75
218.0,2.0,13.0,312696.77
208.0,3.0,13.0,339533.32
200.0,1.0,12.0,299683.36
130.0,3.0,7.0,249604.92
41.0,3.0,2.0,113105.2
96.0,4.0,13.0,191409.88
94.0,3.0,14.0,200741.15
190.0,3.0,11.0,327736.5
197.0,1.0,1.0,261882.59
103.0,4.0,9.0,214543.83
72.0,5.0,1.0,175202.74
73.0,1.0,8.0,119131.46
58.0,1.0,15.0,135337.08
170.0,5.0,2.0,281994.38
41.0,3.0,12.0,129964.52
124.0,2.0,8.0,212741.45
75.0,4.0,13.0,177879.44
159.0,2.0,3.0,245255.79
64.0,5.0,6.0,164726.26
110.0,1.0,3.0,159127.95
119.0,1.0,14.0,182993.9
37.0,4.0,7.0,134038.05
122.0,1.0,10.0,208758.05
183.0,1.0,9.0,255424.3
119.0,4.0,2.0,195477.32
191.0,4.0,15.0,337535.8
144.0,5.0,12.0,301257.73
134.0,1.0,12.0,194401.72
164.0,1.0,15.0,243524.3
87.0,5.0,14.0,215949.73
143.0,3.0,5.0,221755.87
104.0,3.0,13.0,198993.77
186.0,3.0,6.0,261070.55
149.0,5.0,4.0,272868.68
193.0,1.0,4.0,262664.65
50.0,5.0,4.0,126613.81
193.0,5.0,2.0,330086.35
167.0,3.0,4.0,277573.11
130.0,2.0,11.0,209989.13
181.0,1.0,1.0,249198.58
206.0,3.0,12.0,321324.03
128.0,2.0,6.0,203773.4
65.0,2.0,1.0,100970.85
125.0,4.0,10.0,266571.02
181.0,1.0,6.0,246647.79
180.0,2.0,1.0,250517.39
219.0,3.0,6.0,317544.75
66.0,4.0,10.0,191535.79
41.0,1.0,8.0,110839.38
142.0,5.0,11.0,297971.15
212.0,3.0,2.0,316877.28
42.0,2.0,2.0,78902.53
52.0,2.0,14.0,144334.2
128.0,3.0,15.0,243515.49
134.0,2.0,13.0,245548.9
59.0,4.0,12.0,180190.82
46.0,1.0,4.0,74408.81
142.0,4.0,11.0,274773.91
91.0,2.0,3.0,156384.41
113.0,5.0,4.0,189317.25
141.0,1.0,13.0,232811.24
115.0,1.0,12.0,183818.45
170.0,3.0,7.0,259367.49
216.0,3.0,13.0,333080.87
48.0,5.0,11.0,163977.09
206.0,1.0,1.0,270960.71
129.0,5.0,6.0,231414.46
169.0,3.0,15.0,295078.17
218.0,3.0,15.0,358521.1
176.0,1.0,3.0,257541.67
105.0,4.0,11.0,206079.72
38.0,2.0,10.0,101404.65
57.0,3.0,7.0,137539.96
